timestamp,screen_x,screen_y,direction,h_ratio,v_ratio
1779059274.8688,844,373,Center,0.4398,0.3456
1779059274.9713,859,354,Center,0.4479,0.328
1779059275.0856,849,367,Center,0.4425,0.3405
1779059275.1969,851,350,Center,0.4436,0.3248
1779059275.3989,853,378,Center,0.4448,0.3505
1779059276.0267,911,310,Center,0.4747,0.2878
1779059276.1699,936,338,Center,0.4879,0.3132
1779059276.2715,974,266,Center,0.5077,0.2466
1779059276.3663,1016,220,Center,0.5292,0.2038
1779059276.4594,1038,122,Center,0.5408,0.1132
1779059276.5494,1013,115,Center,0.5278,0.1068
1779059276.6502,1002,20,Center,0.5219,0.0193
1779059276.7511,994,43,Center,0.5181,0.0402
1779059276.8563,994,70,Center,0.5182,0.0656
1779059276.9526,1034,70,Center,0.5389,0.0656
1779059277.0485,1067,87,Center,0.5561,0.0814
1779059277.172,1112,89,Center,0.5796,0.0824
1779059277.2823,1128,91,Center,0.5877,0.0848
1779059277.4165,1115,50,Center,0.5812,0.0467
1779059277.5558,1094,97,Center,0.57,0.0905
1779059277.6753,1072,142,Center,0.5584,0.1318
1779059277.8164,1060,181,Center,0.5524,0.1678
1779059277.9764,1054,188,Center,0.5494,0.1742
1779059278.1118,1059,204,Center,0.552,0.1897
1779059278.2636,1058,196,Center,0.5513,0.182
1779059278.4132,1063,181,Center,0.5539,0.1684
1779059278.5142,1040,172,Center,0.5422,0.16
1779059278.6856,1039,181,Center,0.5414,0.1677
1779059278.8637,1037,192,Center,0.5401,0.1785
1779059279.0021,1002,186,Center,0.5221,0.1726
1779059279.1086,980,207,Center,0.5107,0.1919
1779059279.243,976,232,Center,0.5087,0.2155
1779059279.3911,963,246,Center,0.5019,0.2287
1779059279.5441,951,281,Center,0.4955,0.261
1779059279.6722,966,290,Center,0.5035,0.2688
1779059279.8987,962,262,Center,0.5014,0.2431
1779059280.1121,953,257,Center,0.4965,0.2381
1779059280.2523,935,195,Center,0.4872,0.181
1779059280.3917,925,132,Center,0.4821,0.1224
1779059280.5452,913,136,Center,0.4756,0.1267
1779059280.667,901,135,Center,0.4696,0.1251
1779059280.8112,890,106,Center,0.464,0.0985
1779059280.9368,901,128,Center,0.4693,0.1194
1779059281.0757,899,194,Center,0.4685,0.1798
1779059281.2595,904,190,Center,0.471,0.1761
1779059281.4135,908,206,Center,0.4734,0.1915
1779059281.5492,923,203,Center,0.481,0.1883
1779059281.6765,922,218,Center,0.4803,0.2026
1779059281.8093,921,190,Center,0.48,0.1761
1779059281.9361,921,190,Center,0.48,0.1761
1779059282.0656,908,210,Center,0.4734,0.1954
1779059282.2024,913,218,Center,0.476,0.2023
1779059282.3335,905,254,Center,0.4715,0.2358
1779059282.48,901,265,Center,0.4693,0.246
1779059282.6164,901,237,Center,0.4698,0.2199
1779059282.7434,913,188,Center,0.4756,0.1743
1779059282.8527,903,138,Center,0.4706,0.1284
1779059282.9663,906,102,Center,0.472,0.0951
1779059283.101,917,76,Center,0.4777,0.0707
1779059283.2795,930,100,Center,0.4845,0.0927
1779059283.4098,913,86,Center,0.4758,0.0805
1779059283.5205,792,153,Center,0.4126,0.1422
1779059283.6259,759,169,Left,0.3953,0.1565
1779059283.7594,740,219,Left,0.3859,0.2036
1779059283.8854,731,258,Left,0.3812,0.2395
1779059285.3794,739,336,Left,0.3851,0.3114
1779059285.4677,888,305,Center,0.4628,0.2831
1779059285.5565,955,306,Center,0.4979,0.2835
1779059285.652,990,318,Center,0.5158,0.2949
1779059285.7474,964,284,Center,0.5026,0.2637
1779059285.8456,928,264,Center,0.4838,0.2452
1779059285.9611,891,263,Center,0.4643,0.2437
1779059286.0596,835,290,Center,0.435,0.2687
1779059286.1739,798,265,Center,0.4159,0.2462
1779059286.2837,816,228,Center,0.425,0.2116
1779059286.389,844,170,Center,0.4398,0.1582
1779059286.4908,803,123,Center,0.4183,0.1144
1779059286.5937,778,95,Center,0.4053,0.088
1779059286.699,764,33,Left,0.3983,0.0312
1779059286.8072,734,33,Left,0.3828,0.0312
1779059286.9047,756,33,Left,0.3942,0.0312
1779059287.0175,828,33,Center,0.4316,0.0312
1779059287.1229,865,0,Center,0.4508,0.0
1779059287.2246,886,0,Center,0.4617,0.0
1779059287.3349,927,0,Center,0.4833,0.0
1779059287.4469,919,0,Center,0.479,0.0
1779059287.5442,919,0,Center,0.479,0.0
1779059287.6523,888,0,Center,0.4628,0.0
1779059287.7678,888,0,Center,0.4628,0.0
1779059287.8689,901,0,Center,0.4694,0.0
1779059287.9612,901,0,Center,0.4694,0.0
1779059288.0557,901,0,Center,0.4694,0.0
1779059288.152,901,0,Center,0.4694,0.0
1779059288.2521,901,0,Center,0.4694,0.0
1779059288.3558,901,0,Center,0.4694,0.0
1779059288.462,901,0,Center,0.4694,0.0
1779059288.5768,901,0,Center,0.4694,0.0
1779059288.6781,916,0,Center,0.4774,0.0
1779059288.7815,916,0,Center,0.4774,0.0
1779059288.8779,916,0,Center,0.4774,0.0
1779059288.9766,916,0,Center,0.4774,0.0
1779059289.0818,916,0,Center,0.4774,0.0
1779059289.183,916,0,Center,0.4774,0.0
1779059289.2993,916,0,Center,0.4774,0.0
1779059289.399,916,0,Center,0.4774,0.0
