timestamp,screen_x,screen_y,direction,h_ratio,v_ratio
1779159802.301,1054,336,Center,0.5492,0.3115
1779159802.3409,1052,352,Center,0.5482,0.3266
1779159802.37,1028,316,Center,0.5358,0.2931
1779159802.4083,1023,298,Center,0.5332,0.2765
1779159802.4545,1026,290,Center,0.5344,0.2694
1779159802.5755,1030,283,Center,0.5368,0.2622
1779159802.6165,1028,275,Center,0.5355,0.2555
1779159802.6633,1034,293,Center,0.5386,0.2721
1779159802.7191,1034,311,Center,0.5388,0.2881
1779159802.7727,1030,322,Center,0.5367,0.2984
1779159802.8177,1018,321,Center,0.5302,0.2976
1779159802.8659,1025,312,Center,0.534,0.2896
1779159802.9124,1025,303,Center,0.5343,0.2808
1779159802.9608,1040,293,Center,0.5418,0.272
1779159803.0056,1048,288,Center,0.5462,0.2672
1779159803.0542,1051,288,Center,0.5474,0.2668
1779159803.0893,1047,288,Center,0.5456,0.2668
1779159803.2862,1054,289,Center,0.5491,0.2683
1779159803.3415,1047,293,Center,0.5455,0.2714
1779159803.3948,1040,295,Center,0.5421,0.2736
1779159803.4528,1040,302,Center,0.5418,0.2797
1779159803.5103,1033,318,Center,0.5383,0.2949
1779159803.5676,1035,313,Center,0.5393,0.2899
1779159803.6835,1027,309,Center,0.5349,0.2869
1779159803.7354,981,304,Center,0.5114,0.2821
1779159803.785,822,302,Center,0.4285,0.2797
1779159803.8296,659,285,Left,0.3433,0.2642
1779159803.8852,495,288,Left,0.2583,0.2673
1779159803.9255,296,308,Left,0.1546,0.2853
1779159803.9651,148,326,Left,0.0776,0.3027
1779159804.0212,122,335,Left,0.0638,0.3109
1779159804.063,114,315,Left,0.0597,0.292
1779159804.1164,108,294,Left,0.0567,0.2726
1779159804.1583,128,254,Left,0.0669,0.2355
1779159804.1977,155,208,Left,0.0811,0.1935
1779159804.2359,169,166,Left,0.0883,0.1546
1779159804.2837,155,161,Left,0.0809,0.1498
1779159804.3358,118,160,Left,0.0615,0.1488
1779159804.3791,112,171,Left,0.0588,0.1592
1779159804.4208,120,178,Left,0.0628,0.165
1779159804.4711,108,189,Left,0.0566,0.1753
1779159804.5221,128,222,Left,0.0667,0.2061
1779159804.5691,153,239,Left,0.0799,0.2215
1779159804.6141,160,231,Left,0.0838,0.214
1779159804.66,158,254,Left,0.0825,0.2355
1779159804.7055,174,281,Left,0.091,0.2603
1779159804.7478,212,296,Left,0.1105,0.2749
1779159804.7992,243,327,Left,0.1266,0.3035
1779159804.8492,261,398,Left,0.1361,0.3687
1779159804.892,306,451,Left,0.1597,0.4178
1779159804.941,330,456,Left,0.1724,0.4231
1779159804.9739,339,447,Left,0.1768,0.4145
1779159805.019,368,429,Left,0.1919,0.398
1779159805.0706,365,431,Left,0.1903,0.3996
1779159805.1128,275,441,Left,0.1437,0.4091
1779159805.1521,252,422,Left,0.1315,0.3913
1779159805.1947,249,359,Left,0.1298,0.3331
1779159805.2341,264,295,Left,0.1378,0.2735
1779159805.2837,302,226,Left,0.1575,0.2095
1779159805.3296,302,164,Left,0.1575,0.152
1779159805.3742,297,186,Left,0.1552,0.1728
1779159805.4226,216,282,Left,0.1128,0.2616
1779159805.4651,113,396,Left,0.0591,0.3673
1779159805.51,58,470,Left,0.0304,0.4358
1779159805.5442,58,474,Left,0.0304,0.4392
1779159805.586,24,482,Left,0.0128,0.4468
1779159805.625,38,493,Left,0.0199,0.4567
1779159805.6636,40,495,Left,0.0211,0.4586
1779159805.7024,18,476,Left,0.0099,0.4413
1779159805.7493,25,507,Left,0.0133,0.47
1779159805.7971,25,518,Left,0.0133,0.4803
1779159805.8381,11,496,Left,0.0062,0.4599
1779159805.8916,6,464,Left,0.0035,0.4304
1779159805.9324,6,463,Left,0.0035,0.4293
1779159805.9864,0,461,Left,0.0,0.4269
1779159806.0269,0,482,Left,0.0,0.4469
1779159806.0674,0,508,Left,0.0,0.4708
1779159806.1083,0,543,Left,0.0,0.5028
1779159806.1502,0,569,Left,0.0,0.5272
1779159806.2016,0,607,Left,0.0,0.5621
1779159806.2448,6,589,Left,0.0036,0.5454
1779159806.2963,6,580,Left,0.0036,0.5374
1779159806.3335,165,573,Left,0.0864,0.5308
1779159806.3869,426,532,Left,0.2219,0.4931
1779159806.4301,685,492,Left,0.357,0.4558
1779159806.4813,964,480,Center,0.5022,0.4449
1779159806.5267,1244,436,Right,0.6483,0.4037
1779159806.5739,1372,379,Right,0.7151,0.3516
1779159806.6196,1387,369,Right,0.7229,0.342
1779159806.6678,1408,342,Right,0.7337,0.3176
1779159806.7136,1405,314,Right,0.732,0.2914
1779159806.7608,1408,318,Right,0.7334,0.2951
1779159806.8089,1395,319,Right,0.727,0.2958
1779159806.8538,1408,297,Right,0.7335,0.2759
1779159806.891,1407,309,Right,0.733,0.2867
1779159806.9312,1429,312,Right,0.7445,0.2897
1779159806.9698,1436,296,Right,0.7484,0.2744
1779159807.0077,1459,300,Right,0.7604,0.2785
1779159807.0564,1468,300,Right,0.7649,0.2781
1779159807.0948,1494,274,Right,0.7786,0.2538
1779159807.1392,1497,262,Right,0.7797,0.2431
1779159807.1784,1510,269,Right,0.7866,0.2493
1779159807.2312,1514,270,Right,0.789,0.25
1779159807.2742,1508,292,Right,0.7859,0.2711
1779159807.3126,1500,320,Right,0.7817,0.2968
1779159807.3581,1491,317,Right,0.7769,0.2941
1779159807.3996,1484,304,Right,0.773,0.2817
1779159807.4511,1489,315,Right,0.7756,0.2925
1779159807.4933,1502,306,Right,0.7825,0.2841
1779159807.5428,1498,294,Right,0.7806,0.2731
1779159807.5877,1502,308,Right,0.7826,0.2859
1779159807.6393,1512,314,Right,0.7877,0.291
1779159807.6812,1500,307,Right,0.7815,0.2849
1779159807.7266,1472,291,Right,0.7671,0.2697
1779159807.7761,1454,274,Right,0.7578,0.2545
1779159807.8255,1415,258,Right,0.7371,0.2397
1779159807.8624,1364,275,Right,0.7104,0.2552
1779159807.9167,1335,271,Right,0.6957,0.2513
1779159807.9603,1346,287,Right,0.7011,0.2662
1779159808.0111,1236,240,Right,0.6439,0.2224
1779159808.0541,1105,194,Center,0.5756,0.1803
1779159808.1012,1021,125,Center,0.532,0.116
1779159808.1478,1035,95,Center,0.5394,0.0882
1779159808.1981,1060,112,Center,0.5524,0.1043
1779159808.2434,1197,168,Right,0.6237,0.156
1779159808.2959,1357,236,Right,0.7072,0.2185
1779159808.3384,1475,298,Right,0.7686,0.2765
1779159808.3866,1486,326,Right,0.774,0.3027
1779159808.433,1470,306,Right,0.7659,0.2834
1779159808.4858,1457,306,Right,0.7592,0.2837
1779159808.527,1456,318,Right,0.7587,0.2951
1779159808.5757,1461,327,Right,0.761,0.3034
1779159808.6185,1454,333,Right,0.7573,0.3093
1779159808.6695,1445,332,Right,0.7529,0.3076
1779159808.7103,1442,358,Right,0.7514,0.3317
1779159808.76,1438,337,Right,0.7494,0.3128
1779159808.8032,1434,347,Right,0.7472,0.3213
1779159808.8548,1435,356,Right,0.7477,0.3297
1779159808.9028,1435,373,Right,0.7479,0.3461
1779159808.9478,1426,365,Right,0.7429,0.3388
1779159808.9878,1429,388,Right,0.7445,0.3596
1779159809.0265,1419,378,Right,0.7393,0.3504
1779159809.0698,1405,358,Right,0.7322,0.3319
1779159809.1165,1394,357,Right,0.7263,0.3312
1779159809.1649,1392,337,Right,0.7251,0.3125
1779159809.2089,1380,315,Right,0.7189,0.2922
1779159809.2471,1376,306,Right,0.7168,0.2838
1779159809.2852,1380,316,Right,0.719,0.293
1779159809.3202,1381,309,Right,0.7197,0.2864
1779159809.368,1383,322,Right,0.7208,0.2983
1779159809.4078,1387,328,Right,0.7227,0.3043
1779159809.46,1392,350,Right,0.7254,0.3249
1779159809.5063,1398,364,Right,0.7282,0.3376
1779159809.5567,1402,370,Right,0.7302,0.3432
1779159809.597,1405,371,Right,0.7319,0.3442
1779159809.6477,1406,340,Right,0.7328,0.3154
1779159809.6889,1397,293,Right,0.728,0.2716
1779159809.7392,1385,263,Right,0.7215,0.244
1779159809.7794,1379,236,Right,0.7186,0.2185
1779159809.8333,1371,227,Right,0.7144,0.2104
1779159809.881,1377,264,Right,0.7173,0.2452
1779159809.9315,1390,301,Right,0.7243,0.279
1779159809.9697,1406,327,Right,0.7324,0.3031
1779159810.0202,1417,358,Right,0.7381,0.3323
1779159810.0686,1429,373,Right,0.7446,0.3459
1779159810.1136,1424,389,Right,0.7419,0.3602
1779159810.1561,1415,398,Right,0.7374,0.3689
1779159810.2067,1404,403,Right,0.7316,0.3733
1779159810.2507,1389,401,Right,0.724,0.372
1779159810.2888,1383,404,Right,0.7206,0.3749
1779159810.3299,1372,389,Right,0.7151,0.3603
1779159810.3769,1378,377,Right,0.718,0.3492
1779159810.4224,1383,381,Right,0.7207,0.3529
1779159810.4628,1386,384,Right,0.722,0.3559
1779159810.5129,1391,370,Right,0.7246,0.3432
1779159810.5621,1390,369,Right,0.7241,0.3425
1779159810.6085,1392,361,Right,0.7255,0.335
1779159810.6584,1377,346,Right,0.7175,0.321
1779159810.698,1390,348,Right,0.7244,0.3223
1779159810.7499,1377,334,Right,0.7176,0.3099
1779159810.7989,1374,313,Right,0.7157,0.2907
1779159810.8378,1358,306,Right,0.7073,0.2836
1779159810.8894,1357,316,Right,0.7072,0.2928
1779159810.938,1338,314,Right,0.6969,0.2912
1779159810.984,1332,342,Right,0.6942,0.3175
1779159811.0336,1329,350,Right,0.6925,0.3241
1779159811.0789,1322,348,Right,0.6886,0.3228
1779159811.1178,1319,328,Right,0.6871,0.3042
1779159811.172,1306,313,Right,0.6805,0.2898
1779159811.2135,1291,317,Right,0.6726,0.2944
1779159811.2518,1298,332,Right,0.6763,0.3081
1779159811.2999,1299,362,Right,0.6768,0.3357
1779159811.3416,1305,366,Right,0.6801,0.3398
1779159811.3894,1307,384,Right,0.6811,0.3563
1779159811.4379,1326,373,Right,0.6909,0.3455
1779159811.486,1321,371,Right,0.6885,0.3438
1779159811.533,1329,357,Right,0.6923,0.331
1779159811.5812,1333,360,Right,0.6946,0.3339
1779159811.6239,1353,363,Right,0.7047,0.3363
1779159811.6665,1346,379,Right,0.7011,0.3518
1779159811.712,1348,390,Right,0.7021,0.3612
1779159811.7589,1338,392,Right,0.6969,0.3635
1779159811.8092,1333,395,Right,0.6943,0.3666
1779159811.8584,1330,383,Right,0.6932,0.3554
1779159811.9063,1348,388,Right,0.7024,0.3593
1779159811.9581,1352,400,Right,0.7046,0.3709
1779159812.0078,1361,409,Right,0.7089,0.3787
1779159812.0579,1359,432,Right,0.7082,0.4009
1779159812.1112,1350,430,Right,0.7035,0.3983
1779159812.1609,1337,419,Right,0.6964,0.3885
1779159812.2136,1325,397,Right,0.6903,0.3681
1779159812.2665,1318,405,Right,0.6866,0.3751
1779159812.3161,1320,396,Right,0.6878,0.3671
1779159812.3669,1321,409,Right,0.6881,0.3789
1779159812.4198,1320,405,Right,0.688,0.3757
1779159812.4751,1318,405,Right,0.6869,0.3757
1779159812.5282,1316,395,Right,0.6857,0.3658
1779159812.5785,1304,388,Right,0.6796,0.3595
1779159812.6348,1291,378,Right,0.6729,0.3503
1779159812.6886,1274,389,Right,0.6636,0.3604
1779159812.7365,1274,404,Right,0.6636,0.3747
1779159812.7902,1274,398,Right,0.6636,0.3691
1779159812.8451,1279,396,Right,0.6667,0.367
1779159812.897,1285,399,Right,0.6697,0.3699
1779159812.9443,1311,378,Right,0.683,0.3504
1779159812.9928,1325,371,Right,0.6905,0.3443
1779159813.0418,1339,370,Right,0.6975,0.3427
1779159813.0921,1347,390,Right,0.7019,0.3613
1779159813.1409,1356,410,Right,0.7067,0.3801
1779159813.1914,1361,435,Right,0.7089,0.4034
1779159813.2432,1365,444,Right,0.711,0.4112
1779159813.3008,1369,460,Right,0.7135,0.4264
1779159813.3552,1381,438,Right,0.7196,0.4062
1779159813.4063,1348,343,Right,0.7023,0.3178
1779159813.4633,1318,299,Right,0.6866,0.2771
1779159813.5179,1310,212,Right,0.6823,0.1972
1779159813.5699,1322,179,Right,0.6889,0.1658
1779159813.6229,1328,177,Right,0.6921,0.1642
1779159813.6746,1377,237,Right,0.7173,0.2196
1779159813.7323,1424,249,Right,0.7418,0.231
1779159813.7847,1450,314,Right,0.7553,0.2916
