timestamp,screen_x,screen_y,direction,h_ratio,v_ratio
1779103222.7775,995,0,Center,0.5187,0.0
1779103223.127,960,90,Center,0.5004,0.0834
1779103223.4127,972,139,Center,0.5065,0.1288
1779103223.758,922,148,Center,0.4804,0.1373
1779103224.1849,933,186,Center,0.4861,0.1728
1779103224.4828,918,210,Center,0.4786,0.1948
1779103224.7613,937,236,Center,0.4882,0.2194
1779103225.1981,926,253,Center,0.4823,0.2351
1779103225.2313,983,313,Center,0.5121,0.2905
1779103225.2483,999,340,Center,0.5205,0.3155
1779103225.2787,1018,385,Center,0.5305,0.3573
1779103225.3194,1017,406,Center,0.5298,0.3766
1779103225.8133,1032,399,Center,0.5378,0.3703
1779103226.0431,1028,383,Center,0.5356,0.3548
1779103226.3084,1036,344,Center,0.5399,0.3193
1779103226.5622,1035,315,Center,0.5395,0.2919
1779103226.7935,1021,312,Center,0.5323,0.2892
1779103227.076,966,362,Center,0.5032,0.3356
1779103227.3233,928,355,Center,0.4836,0.3288
1779103227.5677,909,349,Center,0.4738,0.3236
1779103227.8076,919,355,Center,0.4791,0.3293
1779103228.0713,954,325,Center,0.497,0.3014
1779103228.3115,1004,261,Center,0.5233,0.2417
1779103228.5546,1045,232,Center,0.5447,0.2149
1779103228.8077,1078,250,Center,0.5619,0.2316
1779103229.0384,1071,265,Center,0.5579,0.2456
1779103229.2717,1043,294,Center,0.5433,0.2729
1779103229.5329,1044,332,Center,0.5441,0.3076
1779103229.772,996,290,Center,0.5189,0.2688
1779103230.0027,884,221,Center,0.4605,0.2049
1779103230.8406,899,230,Center,0.4687,0.2137
1779103234.7683,878,219,Center,0.4573,0.2031
1779103235.0114,851,223,Center,0.4433,0.2065
1779103235.2629,871,312,Center,0.4538,0.2893
1779103235.5136,943,405,Center,0.4912,0.3751
1779103235.7736,897,437,Center,0.4675,0.4052
1779103236.0317,930,453,Center,0.4848,0.4199
1779103236.2738,954,433,Center,0.4973,0.4012
1779103236.5413,986,431,Center,0.5138,0.3993
1779103236.8566,1030,427,Center,0.5368,0.3957
1779103237.1026,1057,425,Center,0.5508,0.3943
1779103237.412,1052,443,Center,0.5481,0.4111
1779103237.7045,1045,450,Center,0.5446,0.4172
1779103237.951,1023,444,Center,0.533,0.4119
1779103238.2077,972,452,Center,0.5065,0.4189
1779103238.4366,966,434,Center,0.5032,0.4025
1779103238.6751,960,426,Center,0.5001,0.3945
1779103238.9291,950,454,Center,0.4951,0.4206
1779103239.1866,996,459,Center,0.5191,0.4252
1779103239.4151,1075,466,Center,0.56,0.4317
1779103239.6753,1096,488,Center,0.5709,0.4526
1779103239.9205,1101,472,Center,0.5734,0.4371
1779103240.1644,1124,461,Center,0.5859,0.4271
1779103240.3911,1035,472,Center,0.5396,0.4374
1779103240.6162,919,439,Center,0.4789,0.4073
1779103240.863,938,431,Center,0.4887,0.3999
1779103241.1547,981,438,Center,0.5113,0.4058
1779103241.4261,1021,430,Center,0.5319,0.3987
1779103241.7109,1089,408,Center,0.5675,0.3785
1779103241.9287,1157,443,Right,0.6028,0.4107
1779103242.1716,1138,433,Center,0.5929,0.4011
1779103242.4086,1088,445,Center,0.5668,0.4124
1779103242.6678,1040,443,Center,0.5422,0.4108
1779103242.9039,1021,465,Center,0.5322,0.4306
1779103243.1339,1001,436,Center,0.5214,0.4043
1779103243.3834,982,430,Center,0.5118,0.3982
1779103243.6241,990,423,Center,0.516,0.3921
1779103243.8508,974,422,Center,0.5073,0.3914
1779103244.0943,955,420,Center,0.4977,0.3894
1779103244.3342,916,445,Center,0.4772,0.4121
1779103244.5609,891,437,Center,0.4643,0.4051
1779103244.7925,882,427,Center,0.4598,0.3956
1779103245.0489,902,437,Center,0.47,0.4054
1779103245.2823,916,423,Center,0.4775,0.3918
1779103245.5223,943,425,Center,0.4915,0.3935
1779103245.7993,951,446,Center,0.4955,0.4131
1779103246.0297,911,450,Center,0.4749,0.4172
1779103246.0387,866,445,Center,0.4511,0.4121
1779103246.3105,830,460,Center,0.4325,0.4268
1779103246.5411,823,454,Center,0.429,0.4204
1779103246.7901,829,461,Center,0.4322,0.4275
1779103247.063,877,461,Center,0.4569,0.4273
1779103247.301,920,465,Center,0.4796,0.4308
1779103247.5635,953,369,Center,0.4967,0.3417
1779103247.8432,970,354,Center,0.5054,0.3281
1779103248.0952,986,347,Center,0.5138,0.3221
1779103248.3391,989,351,Center,0.5155,0.3257
1779103248.6048,987,329,Center,0.5141,0.3054
1779103248.8301,985,412,Center,0.5134,0.3818
1779103249.0883,989,435,Center,0.5152,0.4031
1779103249.3342,985,419,Center,0.5131,0.3888
1779103249.5581,947,413,Center,0.4937,0.3832
1779103249.836,930,423,Center,0.4844,0.392
1779103250.0718,949,409,Center,0.4944,0.3795
1779103250.3184,937,392,Center,0.4882,0.3637
1779103250.6249,903,402,Center,0.4705,0.373
1779103250.8951,951,427,Center,0.4954,0.3961
1779103251.1557,986,427,Center,0.5135,0.3957
1779103251.3987,976,470,Center,0.5085,0.4352
1779103251.6238,978,512,Center,0.5094,0.4745
1779103251.9028,1002,513,Center,0.5221,0.4752
1779103252.1513,977,508,Center,0.5092,0.471
1779103252.3741,935,525,Center,0.4871,0.4865
1779103252.6635,912,487,Center,0.4754,0.4513
1779103252.9071,903,430,Center,0.4703,0.3986
1779103253.1405,914,400,Center,0.4762,0.3709
1779103253.37,911,403,Center,0.4748,0.3739
1779103253.6149,946,401,Center,0.4929,0.3716
1779103253.8822,948,389,Center,0.4939,0.361
1779103254.1641,949,433,Center,0.4945,0.4017
1779103254.3999,887,466,Center,0.4621,0.4319
1779103255.1001,805,511,Center,0.4197,0.4738
1779103255.3361,763,514,Left,0.3977,0.4761
1779103255.5709,761,570,Left,0.3965,0.5283
1779103255.8104,744,541,Left,0.3875,0.5011
1779103256.0678,770,549,Center,0.4014,0.5092
1779103256.3034,827,517,Center,0.431,0.4794
1779103256.5407,868,553,Center,0.4521,0.5127
1779103256.8104,863,507,Center,0.4498,0.4703
1779103257.1048,854,517,Center,0.445,0.4792
1779103257.4681,921,444,Center,0.4799,0.4112
1779103257.7849,1040,378,Center,0.5421,0.3503
1779103258.0849,1051,298,Center,0.5477,0.276
1779103258.3933,1058,270,Center,0.5515,0.2506
1779103258.6858,1084,194,Center,0.5649,0.1802
1779103258.9493,1014,279,Center,0.5284,0.2587
1779103258.9599,894,341,Center,0.4659,0.3164
1779103258.9865,871,359,Center,0.4537,0.333
1779103262.0822,905,424,Center,0.4716,0.3933
1779103262.1137,934,474,Center,0.4868,0.4394
1779103262.1533,1002,435,Center,0.5219,0.4033
1779103262.2149,1112,445,Center,0.5792,0.4123
1779103262.2519,1147,487,Center,0.5974,0.4511
1779103262.2844,1152,433,Right,0.6004,0.4015
1779103262.3204,1193,417,Right,0.6217,0.387
1779103262.3559,1170,397,Right,0.6099,0.3678
1779103262.3875,1105,327,Center,0.5759,0.3035
1779103262.4195,1083,325,Center,0.5646,0.3016
1779103262.4545,1065,373,Center,0.5552,0.3455
1779103262.5135,1019,376,Center,0.5311,0.3487
1779103262.5245,1014,381,Center,0.5284,0.3533
1779103263.5416,1050,358,Center,0.5472,0.332
1779103263.5766,1048,335,Center,0.5462,0.3104
1779103263.6099,1035,301,Center,0.5396,0.2792
1779103263.6448,1018,319,Center,0.5304,0.296
1779103263.6804,1008,336,Center,0.5253,0.3119
1779103263.7118,961,397,Center,0.5005,0.3676
1779103263.7447,962,412,Center,0.5012,0.3818
1779103263.7817,988,448,Center,0.515,0.4149
1779103263.8149,1020,477,Center,0.5317,0.4423
1779103263.8479,1039,512,Center,0.5415,0.4747
1779103263.8805,1048,532,Center,0.5461,0.493
1779103263.9177,1082,546,Center,0.564,0.5063
1779103263.9513,1099,550,Center,0.5726,0.5099
1779103264.2563,1090,524,Center,0.5679,0.4853
1779103264.552,1081,520,Center,0.5632,0.4816
1779103264.5641,1078,516,Center,0.562,0.4783
1779103264.5957,1050,488,Center,0.547,0.4527
1779103264.6318,1016,441,Center,0.5295,0.4087
1779103264.6669,994,434,Center,0.5181,0.402
1779103264.6974,992,387,Center,0.5171,0.3586
1779103264.732,998,338,Center,0.5201,0.3136
1779103264.769,970,312,Center,0.5057,0.2893
1779103264.8011,975,302,Center,0.5079,0.2803
1779103265.2759,980,313,Center,0.5104,0.2906
1779103265.3096,949,307,Center,0.4948,0.2847
1779103265.3773,885,293,Center,0.461,0.2718
1779103265.4118,847,291,Center,0.4415,0.2703
1779103265.4464,795,293,Center,0.4141,0.2718
1779103265.481,765,281,Left,0.3986,0.2609
1779103265.5141,759,315,Left,0.3956,0.2923
1779103265.5491,792,377,Center,0.4127,0.3497
1779103265.5851,823,439,Center,0.4288,0.4066
1779103265.6178,836,459,Center,0.4358,0.4252
1779103265.6533,858,486,Center,0.447,0.4508
1779103265.6863,888,500,Center,0.4625,0.4636
1779103265.7193,915,488,Center,0.4769,0.4527
1779103265.7553,956,463,Center,0.4982,0.4296
1779103265.7874,999,491,Center,0.5205,0.4547
1779103265.8211,1028,445,Center,0.5354,0.4129
1779103265.8596,1026,403,Center,0.5348,0.3736
1779103265.8906,1016,368,Center,0.5294,0.3415
1779103266.1463,999,333,Center,0.5206,0.3087
1779103266.4082,967,286,Center,0.5042,0.265
1779103266.6806,930,322,Center,0.4849,0.2989
1779103266.6897,912,355,Center,0.4751,0.3289
1779103266.7058,893,370,Center,0.4653,0.3429
1779103266.7403,874,382,Center,0.4554,0.3546
1779103266.7749,935,414,Center,0.487,0.384
1779103266.808,982,397,Center,0.5117,0.3676
1779103266.842,1037,374,Center,0.5403,0.3466
1779103266.877,1071,366,Center,0.5582,0.3398
1779103266.9106,1086,379,Center,0.5659,0.3512
1779103266.9436,1054,372,Center,0.5491,0.3449
1779103266.9772,1027,380,Center,0.5352,0.3523
1779103267.0108,1001,406,Center,0.5219,0.3768
1779103267.0443,988,436,Center,0.5146,0.4042
1779103267.0816,976,444,Center,0.5087,0.4113
1779103267.1137,952,457,Center,0.4959,0.4238
1779103267.1492,941,440,Center,0.4904,0.4081
1779103267.1817,920,439,Center,0.4795,0.4071
1779103267.2148,921,414,Center,0.4797,0.3833
1779103267.2499,922,396,Center,0.4807,0.367
1779103267.2841,935,377,Center,0.4872,0.3495
1779103267.3513,956,412,Center,0.4979,0.3817
1779103267.3879,959,422,Center,0.4999,0.3908
1779103267.4199,996,408,Center,0.519,0.3779
1779103267.4874,1024,397,Center,0.5338,0.3684
1779103267.5227,1075,385,Center,0.5601,0.3572
1779103267.5904,1073,339,Center,0.5593,0.3141
1779103267.6287,1082,314,Center,0.5639,0.2915
1779103267.6593,1046,342,Center,0.5452,0.3172
1779103267.6929,1041,338,Center,0.5425,0.3133
1779103267.7279,1011,325,Center,0.527,0.3012
1779103267.7599,1020,347,Center,0.5315,0.3221
1779103267.7979,1031,331,Center,0.5373,0.3065
1779103267.8366,1058,302,Center,0.5512,0.2802
1779103267.8662,1099,300,Center,0.5726,0.2786
1779103267.8982,1101,304,Center,0.5739,0.2824
1779103267.9333,1082,277,Center,0.5637,0.2574
1779103267.9665,1047,265,Center,0.5457,0.2458
1779103268.8876,1209,208,Right,0.6299,0.1926
1779103269.2651,1140,242,Center,0.5939,0.2241
1779103269.2961,1106,267,Center,0.5762,0.248
1779103269.3318,1093,297,Center,0.5698,0.2752
1779103269.3649,1132,331,Center,0.5897,0.3065
1779103270.3188,917,409,Center,0.4779,0.3796
1779103270.3544,911,399,Center,0.4745,0.3695
1779103270.421,882,434,Center,0.4599,0.4024
1779103270.4566,901,436,Center,0.4697,0.4046
1779103270.4917,873,437,Center,0.4549,0.4051
1779103270.5237,885,446,Center,0.4611,0.4135
1779103270.5582,895,462,Center,0.4667,0.428
1779103270.5913,932,445,Center,0.4856,0.4126
1779103270.6258,926,467,Center,0.4826,0.433
1779103270.6589,945,495,Center,0.4925,0.4584
1779103270.7034,950,520,Center,0.4951,0.4821
1779103270.7297,960,540,Center,0.5004,0.5004
1779103270.7617,968,556,Center,0.5045,0.515
1779103270.7953,974,526,Center,0.5077,0.488
1779103270.8308,977,488,Center,0.5091,0.4519
1779103270.8635,977,448,Center,0.509,0.4154
1779103270.9002,971,409,Center,0.5057,0.3792
1779103270.9309,947,370,Center,0.4936,0.3428
1779103270.9646,944,398,Center,0.4921,0.3691
1779103271.0023,946,425,Center,0.4928,0.3936
1779103271.0333,965,449,Center,0.5028,0.4165
1779103271.0683,973,472,Center,0.507,0.4373
1779103271.1037,996,493,Center,0.5189,0.457
1779103271.1382,997,485,Center,0.5194,0.4496
1779103271.1705,991,478,Center,0.5164,0.4432
1779103271.2056,985,472,Center,0.513,0.4374
1779103271.2392,992,467,Center,0.517,0.4325
1779103271.2737,1000,462,Center,0.5208,0.4279
1779103271.3073,1008,458,Center,0.5252,0.4243
1779103271.3433,1020,455,Center,0.5314,0.4214
1779103271.3758,1021,448,Center,0.5321,0.415
1779103271.4099,1024,441,Center,0.5338,0.4085
1779103271.4474,1011,433,Center,0.5269,0.4017
1779103271.4775,998,426,Center,0.5202,0.3952
1779103271.5107,984,419,Center,0.5127,0.3887
1779103271.5483,979,417,Center,0.5101,0.3864
1779103271.5784,970,416,Center,0.5053,0.3853
1779103271.6139,975,415,Center,0.5082,0.3852
1779103271.6475,978,417,Center,0.5097,0.3866
1779103271.6812,978,419,Center,0.5096,0.3883
1779103271.7142,979,421,Center,0.5102,0.3905
1779103271.7494,985,422,Center,0.5131,0.3908
1779103271.7832,995,419,Center,0.5184,0.3887
1779103271.8173,1008,414,Center,0.5253,0.384
1779103271.8503,1026,406,Center,0.5344,0.3767
1779103271.8852,1045,396,Center,0.5444,0.3672
1779103271.9174,1061,387,Center,0.5527,0.3589
1779103271.9512,1073,379,Center,0.559,0.3512
1779103271.9881,1067,408,Center,0.5562,0.3785
1779103272.0228,1060,439,Center,0.5524,0.4071
1779103272.0556,1035,471,Center,0.5394,0.4366
1779103272.0922,1010,503,Center,0.5263,0.466
1779103272.1237,986,536,Center,0.5138,0.4972
1779103272.159,979,532,Center,0.5101,0.4934
1779103272.1923,971,529,Center,0.5058,0.4906
1779103272.2258,979,526,Center,0.5099,0.4878
1779103272.2589,985,524,Center,0.5135,0.4855
1779103272.293,991,522,Center,0.5166,0.4834
1779103272.3283,999,518,Center,0.5203,0.4805
1779103272.3607,1005,515,Center,0.5238,0.4771
1779103272.3971,1012,511,Center,0.5275,0.4738
1779103272.4336,1019,508,Center,0.5312,0.4706
1779103272.4644,1027,504,Center,0.5351,0.4675
1779103272.497,1033,503,Center,0.5383,0.4659
