timestamp,screen_x,screen_y,direction,h_ratio,v_ratio
1779069071.6974,803,288,Center,0.4186,0.2675
1779069071.7283,832,281,Center,0.4335,0.261
1779069071.7756,856,305,Center,0.4459,0.2829
1779069071.8127,878,318,Center,0.4573,0.2947
1779069071.8396,884,311,Center,0.4606,0.288
1779069071.8731,913,312,Center,0.4757,0.289
1779069071.9041,912,308,Center,0.4752,0.2858
1779069071.9366,907,316,Center,0.4726,0.2926
1779069071.9673,869,307,Center,0.4527,0.2848
1779069071.9988,852,319,Center,0.4442,0.296
1779069072.0314,830,328,Center,0.4323,0.3045
1779069072.062,819,350,Center,0.4266,0.3247
1779069072.0973,806,327,Center,0.4203,0.3028
1779069072.1283,826,334,Center,0.4303,0.3094
1779069072.1639,832,315,Center,0.4334,0.2925
1779069072.1957,840,317,Center,0.4379,0.294
1779069072.2239,858,316,Center,0.4472,0.2933
1779069072.2556,864,316,Center,0.4502,0.2927
1779069072.3043,874,298,Center,0.4557,0.2765
1779069072.3406,912,308,Center,0.4751,0.286
1779069072.3639,945,289,Center,0.4927,0.2682
1779069072.4066,913,263,Center,0.4758,0.2437
1779069072.4368,887,261,Center,0.4625,0.2419
1779069072.4662,860,222,Center,0.4483,0.206
1779069072.4972,827,161,Center,0.431,0.15
1779069072.5315,802,111,Center,0.4179,0.1032
1779069072.5593,835,82,Center,0.4351,0.0765
1779069072.5918,845,87,Center,0.4405,0.0806
1779069072.6241,842,100,Center,0.4386,0.0935
1779069072.6569,809,154,Center,0.4216,0.1434
1779069072.6877,790,185,Center,0.4118,0.1722
1779069072.7204,782,227,Center,0.4074,0.2103
1779069072.8203,823,199,Center,0.4287,0.1843
1779069072.849,834,193,Center,0.4345,0.1793
1779069072.8798,841,182,Center,0.438,0.1686
1779069072.9419,848,231,Center,0.4417,0.2142
1779069072.9758,816,196,Center,0.4254,0.1819
1779069073.0084,747,191,Left,0.3896,0.1777
1779069073.0549,733,220,Left,0.3819,0.2045
1779069073.0893,714,243,Left,0.3722,0.2259
1779069073.105,688,244,Left,0.3587,0.226
1779069073.1223,705,293,Left,0.3674,0.2717
1779069073.1541,728,337,Left,0.3793,0.3124
1779069073.19,737,360,Left,0.3841,0.3341
1779069073.2195,753,346,Left,0.3924,0.3213
1779069073.249,764,327,Left,0.398,0.3034
1779069073.2798,757,311,Left,0.3946,0.2885
1779069073.344,733,305,Left,0.3821,0.2833
1779069073.3756,717,260,Left,0.3738,0.241
1779069073.4089,701,278,Left,0.3654,0.2577
1779069073.4385,680,282,Left,0.3544,0.2612
1779069073.4718,656,268,Left,0.3419,0.2483
1779069073.5041,675,274,Left,0.352,0.2546
1779069073.5358,678,295,Left,0.3533,0.2741
1779069073.5676,744,271,Left,0.388,0.2515
1779069073.5991,823,230,Center,0.4289,0.2138
1779069073.632,879,250,Center,0.458,0.2323
1779069073.6799,877,281,Center,0.4569,0.2605
1779069073.7136,817,293,Center,0.4257,0.2715
1779069073.7451,772,278,Center,0.4024,0.2578
1779069073.8067,726,307,Left,0.3786,0.285
1779069073.8401,728,247,Left,0.3795,0.2291
1779069073.872,778,190,Center,0.4057,0.1764
1779069074.1886,890,134,Center,0.4639,0.1243
1779069074.2894,925,103,Center,0.4822,0.0961
1779069074.378,908,50,Center,0.473,0.0466
1779069074.4875,860,47,Center,0.4484,0.0443
1779069074.5991,795,5,Center,0.4146,0.0051
1779069074.7001,733,13,Left,0.3822,0.0121
1779069074.7927,672,13,Left,0.3502,0.0121
1779069075.0393,678,13,Left,0.3534,0.0121
1779069075.1404,695,13,Left,0.3623,0.0121
1779069075.2333,772,13,Center,0.4022,0.0121
1779069075.3417,846,43,Center,0.441,0.0403
1779069075.4406,950,87,Center,0.4951,0.0813
1779069075.5378,1057,161,Center,0.5509,0.1498
1779069075.6349,1067,236,Center,0.5558,0.2188
1779069075.7338,1030,301,Center,0.5366,0.279
1779069075.8421,981,348,Center,0.5113,0.323
1779069075.9383,937,358,Center,0.4884,0.3322
1779069082.0756,925,348,Center,0.482,0.3223
1779069082.1722,1007,337,Center,0.5246,0.3129
1779069082.274,1083,316,Center,0.5641,0.293
1779069082.3757,1159,275,Right,0.6038,0.2551
1779069082.474,1190,301,Right,0.62,0.2791
1779069082.5804,1141,283,Center,0.5947,0.2628
1779069082.6889,1088,255,Center,0.5671,0.2368
1779069082.9358,1010,235,Center,0.5263,0.2179
1779069083.038,929,226,Center,0.4841,0.21
1779069083.1623,877,163,Center,0.4569,0.151
1779069083.2591,865,150,Center,0.4507,0.139
1779069083.36,877,113,Center,0.457,0.1054
